
#
# Data table for MegaTraveller ship generation program.
# I didn't think it would be quite this large!
#
# The basic format is:
# key override code TL Pow+ Vol+ Wt+ $+ HP minVol Cp Cp* waste+ name
#
# key is a field of 4 hex digits.
# override is a single character field specifying if this entry overrides
#   lower TL entries for the same thing (:, +, *, ! or -).  If a + is present
#	the entry will always be returned.  If a - is present, the entry
#	is subject to being replaced by an equivalent item (same key, code)
#	that has a higher tech level.  If a * is present, it means that
#	lower TL devices of this key and code are no longer available at
#	this TL [i.e. improved but not replaced, used to specify turrets].
#	A : indicates that the given item MUST be unique over all items
#	whose keys start with the same two hex digits.  Furthermore, an
#	item of this kind MUST also have a quantity of exactly one.  Following
#	the : there will be another override field (+, * or - only) for this
#	item.  This allows for unique items that override lower TL things!
#	An override of ! means that this item defines a submenu.  This is
#	used to allow the user to choose individual items.  The fields
#	follow are somewhat different.  The next (third) field is another
#	key, that specifies what item code is in the sub-menu.  The fourth
#	optional field is the minimum TL that this thing becomes available.
#	And the name field is the message printed in the menu displayed to
#	the user.
# code is the UCP code (only codes [1-9A-Z] are to be printed, specifically
# lower case codes are NOT printed and a zero code is NOT printed)
# TL is the minimum TL to get this thing
# Pow, Vol, Wt, $ are power, volume, weight and price
# HP is the number of hardpoints used
# minVol is the minimum volume for the device
# Cp, Cp* are the control points and Cp multiplier (for computers, Cp is
# the maximum control point input)
# waste is a measure of wasted internal space (i.e. no life support)
# name is a text description of the item
#
# Every field except the key, the code and the override may be absent
# The special sequence %string causes all the remaining fields to take
# default values and the name becomes string
# a $ causes just that field to take a default value
# The fields indicated + above are either a constant quantity or
# a multiplicative quantity. (The latter is specified using a leading
# '*').
# Any real values can either be presented as a plain number or as a
# ratio of two numbers (use a '/' between them and no spaces).
#
# key override code TL Pow+ Vol+ Wt+ $+ HP minVol Cp Cp* waste+ name

0000! 1000	%Hull Section
1120:+ w 0 $      -108.0     5.7     10000     -1	%Standard Hull - 8     
1120:+ x 0 $      -121.5     6.3     13700     -1	%Standard Hull - 9     
1120:+ a 0 $      -135.0     6.8     17400     -1	%Standard Hull - 10    
1120:+ b 0 $      -148.5     7.3     21100     -1	%Standard Hull - 11    
1120:+ c 0 $      -162.0     7.8     24800     -1	%Standard Hull - 12    
1120:+ d 0 $      -175.5     8.4     28500     -1	%Standard Hull - 13    
1120:+ e 0 $      -189.0     8.8     30300     -1	%Standard Hull - 14    
1120:+ f 0 $      -202.5     9.3     33000     -1	%Standard Hull - 15    
1120:+ g 0 $      -216.0     9.8     36700     -1	%Standard Hull - 16    
1120:+ h 0 $      -229.5    10.3     38400     -1	%Standard Hull - 17    
1120:+ j 0 $      -243.0    10.8     40100     -1	%Standard Hull - 18    
1120:+ k 0 $      -256.5    11.3     42800     -1	%Standard Hull - 19    
1120:+ a 0 $      -270.0    11.8     44550     -1	%Standard Hull - 20    
1120:+ b 0 $      -335.0    13.4     49700     -1	%Standard Hull - 25    
1120:+ c 0 $      -405.0    16.2     56800     -1	%Standard Hull - 30    
1120:+ d 0 $      -470.0    18.8     62100     -1	%Standard Hull - 35    
1120:+ e 0 $      -540.0    21.6     66820     -1	%Standard Hull - 40    
1120:+ f 0 $      -605.0    23.6     69900     -1	%Standard Hull - 45    
1120:+ g 0 $      -675.0    26.3     72400     -1	%Standard Hull - 50    
1120:+ h 0 $      -740.0    28.8     79400     -1	%Standard Hull - 55    
1120:+ j 0 $      -810.0    31.6     84200     -1	%Standard Hull - 60    
1120:+ k 0 $      -875.0    33.3     89500     -1	%Standard Hull - 65    
1120:+ m 0 $      -945.0    35.0     93500     -1	%Standard Hull - 70    
1120:+ n 0 $     -1010.0    36.4    100000     -1	%Standard Hull - 75    
1120:+ p 0 $     -1080.0    37.8    107000     -1	%Standard Hull - 80    
1120:+ q 0 $     -1150.0    38.5    114000     -1	%Standard Hull - 85    
1120:+ r 0 $     -1215.0    39.0    124000     -1	%Standard Hull - 90    
1120:+ s 0 $     -1285.0    39.5    127000     -1	%Standard Hull - 95    
1110:+ a 0 $     -1350.0    40.0    134000     -1	%Standard Hull - 100   
1110:+ b 0 $     -2700.0    70.0    265000     -2	%Standard Hull - 200   
1110:+ c 0 $     -4050.0   100.0    400000     -3	%Standard Hull - 300   
1110:+ d 0 $     -5400.0   130.0    535000     -4	%Standard Hull - 400   
1110:+ e 0 $     -6750.0   160.0    665000     -5	%Standard Hull - 500   
1110:+ f 0 $     -8100.0   190.0    805000     -6	%Standard Hull - 600   
1110:+ g 0 $     -9450.0   220.0    935000     -7	%Standard Hull - 700   
1110:+ h 0 $    -10800.0   250.0   1050000     -8	%Standard Hull - 800   
1110:+ j 0 $    -12150.0   280.0   1200000     -9	%Standard Hull - 900   
1110:+ a 0 $    -13500.0   310.0   1350000    -10	%Standard Hull - 1000  
1110:+ b 0 $    -27000.0   600.0   2700000    -20	%Standard Hull - 2000  
1110:+ c 0 $    -40500.0   900.0   4000000    -30	%Standard Hull - 3000  
1110:+ d 0 $    -54000.0  1200.0   5300000    -40	%Standard Hull - 4000  
1110:+ e 0 $    -67500.0  1500.0   6700000    -50	%Standard Hull - 5000  
1110:+ f 0 $    -81000.0  1800.0   8000000    -60	%Standard Hull - 6000  
1110:+ g 0 $    -94500.0  2100.0   9400000    -70	%Standard Hull - 7000  
1110:+ h 0 $   -108000.0  2400.0  10700000    -80	%Standard Hull - 8000  
1110:+ j 0 $   -121500.0  2700.0  12100000    -90	%Standard Hull - 9000  
1110:+ a 0 $   -135000.0  3000.0  13400000   -100	%Standard Hull - 10000 
1110:+ b 0 $   -270000.0  6000.0  15600000   -200	%Standard Hull - 20000 
1110:+ c 0 $   -405000.0  8000.0  17800000   -300	%Standard Hull - 30000 
1110:+ d 0 $   -540000.0 10000.0  20100000   -400	%Standard Hull - 40000 
1110:+ e 0 $   -675000.0 11500.0  22300000   -500	%Standard Hull - 50000 
1110:+ f 0 $  -1010000.0 15000.0  44600000   -750	%Standard Hull - 75000 
1110:+ g 0 $  -1350000.0 18000.0  66800000  -1000	%Standard Hull - 100000
1110:+ h 0 $  -2700000.0 29000.0  89100000  -2000	%Standard Hull - 200000
1110:+ j 0 $  -4050000.0 38000.0 111400000  -3000	%Standard Hull - 300000
1110:+ k 0 $  -5400000.0 46000.0 166700000  -4000	%Standard Hull - 400000
1110:+ m 0 $  -6750000.0 54000.0 222800000  -5000	%Standard Hull - 500000
1110:+ n 0 $  -9450000.0 67000.0 445500000  -7000	%Standard Hull - 700000
1110:+ p 0 $ -12150000.0 79000.0 668300000  -9000	%Standard Hull - 900000
1110:+ q 0 $ -13500000.0 85000.0 891000000 -10000	%Standard Hull - 1000000

# Configurations and streamlining [1-5 p63]
1000! 1200	%Configuration and Streamlining
1200:+ 0 0 $	$	*0.5	*0.5	%Open Frame (unstreamlined)
1200:+ 1 0 $	$	*1.0	*1.2	%Needle/Wedge (streamlined)
1200:+ 1 0 $	$	*1.0	*1.8	%Needle/Wedge (airframe)
1200:+ 2 0 $	$	*1.0	*1.1	%Cone (streamlined)
1200:+ 2 0 $	$	*1.0	*2.2	%Cone (airframe)
1200:+ 3 0 $	$	*1.0	*1.0	%Cyclinder (unstreamlined)
1200:+ 3 0 $	$	*1.0	*1.2	%Cyclinder (streamlined)
1200:+ 3 0 $	$	*1.0	*3.0	%Cyclinder (airframe)
1200:+ 4 0 $	$	*1.0	*0.6	%Box (unstreamlined)
1200:+ 4 0 $	$	*1.0	*0.9	%Box (streamlined)
1200:+ 5 0 $	$	*0.8	*1.5	%Sphere (unstreamlined)
1200:+ 6 0 $	$	*0.9	*2.4	%Dome/Disk (streamlined)
1200:+ 6 0 $	$	*0.9	*3.6	%Dome/Disk (airframe)
1200:+ 7 0 $	$	*0.9	*0.5	%Irregular (unstreamlined)
#1200:+ 8 0 $	$	$	*1.0	%Planetoid (unstreamlined)
#1200:+ 9 0 $	$	$	*1.0	%Buffered (unstreamlined)

# Planetoid Configurations [1-6 p63]
# should add hardpoint entries to this table
#1000! 12FF	%Planetoid Hulls
#12FF:+ 0 0 $	-1	1.0	85 -1/1350  1350 $ $ 0.2	%Planetoid hull
#12FF:+ 0 0 $	-1	1.75	85 -1/1350  1350 $ $ 0.35	%Buffered hull

# Armour type table [1-7 p63]
1000! 1300 5	%Armour Type
1300:+ A 5 $	$	*1.25	*1.0	%Soft Steel
1300:+ B 6 $	$	*1.00	*1.0	%Hard Steel
1300:+ C 7 $	$	*0.44	*1.8	%Composite Laminate
1300:+ D 9 $	$	*0.35	*1.6	%Lt Wt Composite Laminate
1300:+ E 10 $	$	*0.31	*1.1	%Crystaliron
1300:+ F 12 $	$	*0.26	*1.0	%Superdense
1300:+ G 14 $	$	*0.14	*1.0	%Bonded Superdense
1300:+ H 17 $	$	*0.06	*1.3	%Coherent Superdense

# Armour table [1-9 p63]
# Here the rule that limits added armour to TL*5 is interpreted such that
# the basic armour of a standard hull is zero, and any armour added to the hull
# is normal.  Using the other interpretation, had major problems when
# considering craft with armours less than 40 ---- negative weights and prices
1000! 1400	%Armour Value
1400:+ 0 1 $ $ *0.25	*0.25	%Armour 1
1400:+ 0 1 $ $ *0.50	*0.50	%Armour 2
1400:+ 0 1 $ $ *0.75	*0.75	%Armour 3
1400:+ 0 1 $ $ *1.00	*1.00	%Armour 4
1400:+ 0 1 $ $ *1.25	*1.25	%Armour 5
1400:+ 0 2 $ $ *1.50	*1.50	%Armour 6
1400:+ 0 2 $ $ *1.75	*1.75	%Armour 7
1400:+ 0 2 $ $ *2.00	*2.00	%Armour 8
1400:+ 0 2 $ $ *2.25	*2.25	%Armour 9
1400:+ 0 2 $ $ *2.50	*2.50	%Armour 10
1400:+ 0 3 $ $ *2.75	*2.75	%Armour 11
1400:+ 0 3 $ $ *3.00	*3.00	%Armour 12
1400:+ 0 3 $ $ *3.25	*3.25	%Armour 13
1400:+ 0 3 $ $ *3.54	*3.54	%Armour 14
1400:+ 0 3 $ $ *3.86	*3.86	%Armour 15
1400:+ 0 4 $ $ *4.20	*4.20	%Armour 16
1400:+ 0 4 $ $ *4.59	*4.59	%Armour 17
1400:+ 0 4 $ $ *5.00	*5.00	%Armour 18
1400:+ 0 4 $ $ *5.45	*5.45	%Armour 19
1400:+ 0 4 $ $ *5.95	*5.95	%Armour 20
1400:+ 0 5 $ $ *6.48	*6.48	%Armour 21
1400:+ 0 5 $ $ *7.07	*7.07	%Armour 22
1400:+ 0 5 $ $ *7.71	*7.71	%Armour 23
1400:+ 0 5 $ $ *8.41	*8.41	%Armour 24
1400:+ 0 5 $ $ *9.17	*9.17	%Armour 25
1400:+ 0 6 $ $ *10.0	*10.0	%Armour 26
1400:+ 0 6 $ $ *10.9	*10.9	%Armour 27
1400:+ 0 6 $ $ *11.9	*11.9	%Armour 28
1400:+ 0 6 $ $ *13.0	*13.0	%Armour 29
1400:+ 0 6 $ $ *14.1	*14.1	%Armour 30
1400:+ 0 7 $ $ *15.4	*15.4	%Armour 31
1400:+ 0 7 $ $ *16.8	*16.8	%Armour 32
1400:+ 0 7 $ $ *18.3	*18.3	%Armour 33
1400:+ 0 7 $ $ *20.0	*20.0	%Armour 34
1400:+ 0 7 $ $ *21.8	*21.8	%Armour 35
1400:+ 0 8 $ $ *23.8	*23.8	%Armour 36
1400:+ 0 8 $ $ *25.9	*25.9	%Armour 37
1400:+ 0 8 $ $ *28.3	*28.3	%Armour 38
1400:+ 0 8 $ $ *30.8	*30.8	%Armour 39
1400:+ 0 8 $ $ *33.0	*33.0	%Armour 40
1400:+ 0 9 $ $ *36.7	*36.7	%Armour 41
1400:+ 0 9 $ $ *40.0	*40.0	%Armour 42
1400:+ 0 9 $ $ *43.6	*43.6	%Armour 43
1400:+ 0 9 $ $ *47.6	*47.6	%Armour 44
1400:+ 0 9 $ $ *51.9	*51.9	%Armour 45
1400:+ 0 10 $ $ *56.6	*56.6	%Armour 46
1400:+ 0 10 $ $ *61.7	*61.7	%Armour 47
1400:+ 0 10 $ $ *67.3	*67.3	%Armour 48
1400:+ 0 10 $ $ *73.4	*73.4	%Armour 49
1400:+ 0 10 $ $ *80	*80	%Armour 50
1400:+ 0 11 $ $ *87.2	*87.2	%Armour 51
1400:+ 0 11 $ $ *95.1	*95.1	%Armour 52
1400:+ 0 11 $ $ *104	*104	%Armour 53
1400:+ 0 11 $ $ *113	*113	%Armour 54
1400:+ 0 11 $ $ *123	*123	%Armour 55
1400:+ 0 12 $ $ *135	*135	%Armour 56
1400:+ 0 12 $ $ *147	*147	%Armour 57
1400:+ 0 12 $ $ *160	*160	%Armour 58
1400:+ 0 12 $ $ *174	*174	%Armour 59
1400:+ 0 12 $ $ *190	*190	%Armour 60
1400:+ 0 13 $ $ *207	*207	%Armour 61
1400:+ 0 13 $ $ *226	*226	%Armour 62
1400:+ 0 13 $ $ *247	*247	%Armour 63
1400:+ 0 13 $ $ *269	*269	%Armour 64
1400:+ 0 13 $ $ *293	*293	%Armour 65
1400:+ 0 14 $ $ *320	*320	%Armour 66
1400:+ 0 14 $ $ *349	*349	%Armour 67
1400:+ 0 14 $ $ *381	*381	%Armour 68
1400:+ 0 14 $ $ *415	*415	%Armour 69
1400:+ 0 14 $ $ *453	*453	%Armour 70
1400:+ 0 15 $ $ *494	*494	%Armour 71
1400:+ 0 15 $ $ *538	*538	%Armour 72
1400:+ 0 15 $ $ *587	*587	%Armour 73
1400:+ 0 15 $ $ *640	*640	%Armour 74
1400:+ 0 15 $ $ *698	*698	%Armour 75
1400:+ 0 16 $ $ *761	*761	%Armour 76
1400:+ 0 16 $ $ *830	*830	%Armour 77
1400:+ 0 16 $ $ *905	*905	%Armour 78
1400:+ 0 16 $ $ *987	*987	%Armour 79
1400:+ 0 16 $ $ *1080	*1080	%Armour 80
1400:+ 0 17 $ $ *1170	*1170	%Armour 81
1400:+ 0 17 $ $ *1280	*1280	%Armour 82
1400:+ 0 17 $ $ *1400	*1400	%Armour 83
1400:+ 0 17 $ $ *1520	*1520	%Armour 84
1400:+ 0 17 $ $ *1660	*1660	%Armour 85
1400:+ 0 18 $ $ *1810	*1810	%Armour 86
1400:+ 0 18 $ $ *1970	*1970	%Armour 87
1400:+ 0 18 $ $ *2150	*2150	%Armour 88
1400:+ 0 18 $ $ *2350	*2350	%Armour 89
1400:+ 0 18 $ $ *2560	*2560	%Armour 90
1400:+ 0 19 $ $ *2790	*2790	%Armour 91
1400:+ 0 19 $ $ *3040	*3040	%Armour 92
1400:+ 0 19 $ $ *3320	*3320	%Armour 93
1400:+ 0 19 $ $ *3620	*3620	%Armour 94
1400:+ 0 19 $ $ *3950	*3950	%Armour 95
1400:+ 0 20 $ $ *4310	*4310	%Armour 96
1400:+ 0 20 $ $ *4700	*4700	%Armour 97
1400:+ 0 20 $ $ *5120	*5120	%Armour 98
1400:+ 0 20 $ $ *5580	*5580	%Armour 99
1400:+ 0 20 $ $ *6090	*6090	%Armour 100
1400:+ 0 21 $ $ *6640	*6640	%Armour 101
1400:+ 0 21 $ $ *7240	*7240	%Armour 102
1400:+ 0 21 $ $ *7900	*7900	%Armour 103
1400:+ 0 21 $ $ *8610	*8610	%Armour 104
1400:+ 0 21 $ $ *9360	*9360	%Armour 105
1400:+ 0 22 $ $ *10200	*10200	%Armour 106
1400:+ 0 22 $ $ *11200	*11200	%Armour 107
1400:+ 0 22 $ $ *12200	*12200	%Armour 108
# Those that are hashed out are not in the ref's guide, but are obvious
#1400:+ 0 22 $ $ *13280	*13280	%Armour 109
1400:+ 0 22 $ $ *14500	*14500	%Armour 110
#1400:+ 0 23 $ $ *15800	*15800	%Armour 111
1400:+ 0 23 $ $ *17200	*17200	%Armour 112
#1400:+ 0 23 $ $ *18720	*18720	%Armour 113
1400:+ 0 23 $ $ *20500	*20500	%Armour 114
#1400:+ 0 23 $ $ *22400	*22400	%Armour 115
1400:+ 0 24 $ $ *24400	*24400	%Armour 116
#1400:+ 0 24 $ $ *26560	*26560	%Armour 117
1400:+ 0 24 $ $ *29000	*29000	%Armour 118
#1400:+ 0 24 $ $ *31600	*31600	%Armour 119
1400:+ 0 24 $ $ *34400	*34400	%Armour 120

# Power Supply
# When the storage batteries, fuel cells and solar cells are added to the
#	table it would be necessary to subdivide the power supply section
#	at present (there being only power plants) the table is directed
#	directly to those.  The complete listing for such is included below
#	and the shortened form actually in the database.
#0000! 2000	%Power Section
#2000! 2100 5	%Power Plants
#2000! 2200	%Storage Batteries
#2000! 2300	%Fuel Cells
#2000! 2400	%Solar Cells
0000! 2100 5	%Power Plants
# Power Plants [2-1 & 2-2 p64], the scale efficiency table is included in
# this table.  I've defined some UCP codes to reflect the scale efficiency
# in action, they are:
#	v	very tiny	\
#	t	tiny		 > reduced efficiency
#	s	small		/
#	m	medium		no scale efficiency possible
#	l	large		\
#	h	huge		 > improved efficiency
#	g	gigantic	/
# These codes are now obsolete, they are be completely re-arragned to
# provided a better sorting order so that the displayed menu is more
# readable.  Basically the new system, rates antimatter first, then
# fusion and the lower TL things.  Everything is also sorted by size
# from largest to smallest (since in ships at least, you are only
# really interested in the largest sizes available).
2100+ y 5 -0.25/3 1 1 1000	$ 0.005 %Internal Combustion (small)
2100+ x 5 -0.25   1 1 1000	$ 0.100 %Internal Combustion
2100+ w 5 -0.375  1 1 1000	$ 11.00 %Internal Combustion (large)
2100+ v 6 -0.4/3  1 1 2000	$ 0.001 %Improved Internal Combustion (small)
2100+ u 6 -0.40   1 1 2000	$ 0.100 %Improved Internal Combustion
2100+ t 6 -0.60   1 1 2000	$ 11.00 %Improved Internal Combustion (large)
2100+ s 6 -1.00   1 8 100000	$ 5.000 %Nuclear Fission
2100+ r 6 -2.00   1 8 100000	$ 50.00 %Nuclear Fission (large)
2100+ q 7 -0.20   1 1 5000	$ 0.005 %Gas Turbine (small)
2100+ p 7 -0.60   1 1 5000	$ 0.100 %Gas Turbine
2100+ n 7 -0.90   1 1 5000	$ 11.00 %Gas Turbine (large)
2100+ m 8 -0.8/3  1 1 10000	$ 0.001 %MHD Turbine (small)
2100+ k 8 -0.80   1 1 10000	$ 0.100 %MHD Turbine
2100+ j 8 -1.20   1 1 10000	$ 11.00 %MHD Turbine (large)
2100- e 9 -4.00   1 4 200000	$ 10.00 %Fusion
2100- d 9 -6.00   1 4 200000	$ 14.00 %Fusion (large)
2100- e 10 -2.0   1 4 200000	$ 2.000 %Fusion
2100- d 10 -3.0   1 4 200000	$ 6.000 %Fusion (large)
2100- c 10 -4.0   1 4 200000	$ 10.00 %Fusion (huge)
2100- b 10 -6.0   1 4 200000	$ 14.00 %Fusion (gigantic)
2100- e 11 -2.0   1 4 200000	$ 1.000 %Fusion
2100- d 11 -3.0   1 4 200000	$ 6.000 %Fusion (large)
2100- c 11 -4.0   1 4 200000	$ 10.00 %Fusion (huge)
2100- b 11 -6.0   1 4 200000	$ 14.00 %Fusion (gigantic)
2100- g 12 -1.0   1 4 200000	$ 0.250 %Fusion (tiny)
2100- f 12 -4/3   1 4 200000	$ 0.500 %Fusion (small)
2100- e 12 -2.0   1 4 200000	$ 0.750 %Fusion
2100- d 12 -3.0   1 4 200000	$ 6.000 %Fusion (large)
2100- c 12 -4.0   1 4 200000	$ 10.00 %Fusion (huge)
2100- b 12 -6.0   1 4 200000	$ 14.00 %Fusion (gigantic)
2100- h 13 -0.75  1 3 200000	$ 0.150 %Fusion (very tiny)
2100- g 13 -1.5   1 3 200000	$ 0.250 %Fusion (tiny)
2100- f 13 -2.0   1 3 200000	$ 0.500 %Fusion (small)
2100- e 13 -3.0   1 3 200000	$ 0.750 %Fusion
2100- d 13 -4.5   1 3 200000	$ 6.000 %Fusion (large)
2100- c 13 -6.0   1 3 200000	$ 10.00 %Fusion (huge)
2100- b 13 -9.0   1 3 200000	$ 14.00 %Fusion (gigantic)
2100- h 14 -0.75  1 3 200000	$ 0.100 %Fusion (very tiny)
2100- g 14 -1.5   1 3 200000	$ 0.250 %Fusion (tiny)
2100- f 14 -2.0   1 3 200000	$ 0.500 %Fusion (small)
2100- e 14 -3.0   1 3 200000	$ 0.750 %Fusion
2100- d 14 -4.5   1 3 200000	$ 6.000 %Fusion (large)
2100- c 14 -6.0   1 3 200000	$ 10.00 %Fusion (huge)
2100- b 14 -9.0   1 3 200000	$ 14.00 %Fusion (gigantic)
2100- h 15 -1.5   1 2 200000	$ 0.090 %Fusion (very tiny)
2100- g 15 -3.0   1 2 200000	$ 0.250 %Fusion (tiny)
2100- f 15 -4.0   1 2 200000	$ 0.500 %Fusion (small)
2100- e 15 -6.0   1 2 200000	$ 0.750 %Fusion
2100- d 15 -9.0   1 2 200000	$ 6.000 %Fusion (large)
2100- c 15 -12    1 2 200000	$ 10.00 %Fusion (huge)
2100- b 15 -18    1 2 200000	$ 14.00 %Fusion (gigantic)
2100- h 16 -1.75  1 1 200000	$ 0.080 %Fusion (very tiny)
2100- g 16 -3.5   1 1 200000	$ 0.250 %Fusion (tiny)
2100- f 16 -14/3  1 1 200000	$ 0.500 %Fusion (small)
2100- e 16 -7.0   1 1 200000	$ 0.750 %Fusion
2100- d 16 -10.5  1 1 200000	$ 6.000 %Fusion (large)
2100- c 16 -14    1 1 200000	$ 10.00 %Fusion (huge)
2100- b 16 -21    1 1 200000	$ 14.00 %Fusion (gigantic)
2100- a 17 -500   1 6 500000	$ 8.000 %Antimatter
2100- a 18 -1000  1 5 500000	$ 1.000 %Antimatter
2100- a 19 -2500  1 4 500000	$ 0.500 %Antimatter
2100- a 20 -15000 1 3 500000	$ 0.100 %Antimatter
2100- a 21 -50000 1 2 500000	$ 0.020 %Antimatter

# Storage Batteries [2-1 p64] key: 2200
# Fuel Cells [2-1 p64] key: 2300
# Solar Cells [2-1 p64] key: 2400

# Locomotion (section 3).
0000! 3000 9	%Drive Section
# All the drive tables in this section have been adjusted so that they
# are based on kL of hull volume rather that on some large (and uninteresting)
# tables form the ref's guide.
# Jump units required [3-3 p65]
3000! 3100 9	%Jump Drive
3100+ 1 9 $ *1/50	*1/25	*40000/9 $ 27		%Jump Drive
3100+ 2 11 $ *3/100	*3/50	*20000/3 $ 40.5		%Jump Drive
3100+ 3 12 $ *1/25	*2/25	*80000/9 $ 54		%Jump Drive
3100+ 4 13 $ *1/20	*1/10	*100000/9 $ 67.5	%Jump Drive
3100+ 5 14 $ *3/50	*3/25	*40000/3 $ 81		%Jump Drive
3100+ 6 15 $ *7/100	*7/50	*140000/9 $ 94.5	%Jump Drive

# Jump Drive Fuel [3-4 p65]
3000! 3200 9	%Jump Fuel
3200- 1 9  $ *1/10   $ $ $ 135	 	$ $ *1/10 	%Fuel Jump
3200- 1 17 $ *2/25   $ $ $ 108		$ $ *2/25	%Fuel Jump
3200- 1 18 $ *3/50   $ $ $ 81		$ $ *3/50	%Fuel Jump
3200- 1 19 $ *1/25   $ $ $ 54		$ $ *1/25	%Fuel Jump
3200- 1 20 $ *1/50   $ $ $ 27		$ $ *1/50	%Fuel Jump
3200- 1 21 $ *1/100  $ $ $ 13.5		$ $ *1/100	%Fuel Jump
3200- 2 9  $ *3/20   $ $ $ 202.5	$ $ *3/20	%Fuel Jump
3200- 2 17 $ *3/25   $ $ $ 162		$ $ *3/25	%Fuel Jump
3200- 2 18 $ *9/100  $ $ $ 121.5	$ $ *9/100	%Fuel Jump
3200- 2 19 $ *3/50   $ $ $ 81		$ $ *3/50	%Fuel Jump
3200- 2 20 $ *3/100  $ $ $ 40.5		$ $ *3/100	%Fuel Jump
3200- 2 21 $ *3/200  $ $ $ 20.25	$ $ *3/200	%Fuel Jump
3200- 3 9  $ *1/5    $ $ $ 270		$ $ *1/5	%Fuel Jump
3200- 3 17 $ *4/25   $ $ $ 216		$ $ *4/25	%Fuel Jump
3200- 3 18 $ *3/25   $ $ $ 162		$ $ *3/25	%Fuel Jump
