

;Start
1,The Dragon has a [Head] Head, with a [Body plan] body.
_The Dragon demands -[The Dragons Demands], or he threatens [Terroristic Threats].<br>
4,Inflamed intestinal blockage from hastily devoured iron-clad warrior: constitutionally compromised
5,Anger management issue: easily provoked into blind rage featuring total loss of reason
6,Quite insane, unpredictable but somewhat suggestible
7,Allergic to fresh cut grasses: exposure induces convulsive sneezes, reduces vision
8,Devoted to fine brandy by the cask, commisioned giant snifter, frequently loaded
9,Actually quite fond of humans: a scholarly authority on the subject eager to test pet theories, readily charmed
10,Severely infected fang: claw, claw, no bite
11,Arrow shaft barely protruding from difficult-to-reach spot on back: an inch away from spine
12,A terror back in the day, now frail with immeasurable age, flames diminished, passions forgotten, stiff w/arthritis, scales dropping off, a shadow of former self

:Down the World Dragon's Gullet
2,Whirlpool: forcefully excretes anything caught within into random world
3,Aggressive phagocytes: attack as giant black puddings
4,Age-withered questing hero and party in iron clad vessel: lost to madness
5,Series of ducts lead to...(see subtable below)
6,Levitating parasitic worm-oracle dispensing trans-planar wisdom
7,Wizard and homonculi crew piloting experimental bathysphere
8,Hygiene cells studded with indigestible treasures
9,Cyst-shrine of the dragon cult
10,Corpse-strewn and blasted battlefield: site of ancient autoimmune malfunction
11,Ruined keep atop crystalline outcropping (devoured centuries ago)
12,Skeletons and other partially digested remains of gods, demi-gods, and heroes

:Duct destination subtable
1-2,Heart: violently propelled to next destination (roll again)
3-4,Spleen: exposure to fluids amplifies rage and hate
5-6,Phlegm pits: trapped forever
7-8,Lungs: filled with explosive gasses and gale force winds
9-11,Brain: induces apoplexy in World Dragon w/potentially catastrophic results
12,Colon (Hades-like zone of the mournful dead)

:Weird Dragon Breath
1,Cascading waves of time: massively accelerated aging
2,Cone of serenity: save or achieve involuntary enlightenment
3,Blast of revulsion: subject unable to remain in the same physical space as dragon
4,Scintillant ray of hypnosis
5,Cloud of pathogens: 1d6 random diseases attack simultaneously
6,Miasma of resentment: dragon's assailants turn against one another
7,Beam of luck: positive or negative at will
8,Illusion breath: rolls over scene replacing reality with phantasmal nightmare visions, save for mere bewilderment
9,Spatter of digestive enzymes
10,Unstable gasses: torchbearers beware!
11,Cloud of misery: uncontrollable emotional meltdown, save for melancholia
12,Thunder storm breath: lightning, deafening peals, damaging winds propel massive hailstones

:Other Prisoners
1,Three former chiefs-of-staff serving life sentences for insolence and poor service
2,The local lord: not previously known to be missing
3,Bound halfling suspended upside-down from ceiling
4,A lawful wizard encased in a life-sustaining plasm
5,Hog-tied hill giant chief in extra-large cell block
6,A still-smoldering fighting man in claw-rent armor
7,The ogre guard captain who got overly ambitious: still retains loyalty of the guard, fomenting insurrection
8,Malevolent mist-being in glass bio-dome: mutters about plans to depopulate the continent
9,The heir of the griffin king awaiting delivery of ransom
10,Sentient beetle-man from the distant past: claims to know a good deal about the future as well
11,A six-dimensional fungus hovering in containment dome
12,Ball-gagged bard weeping (silently) over the shattered remains of lute 
