# (in progress. Esp. feminine names)
#
# This is a name generator for the Steampunk/Post Apocalyptic 
# roleplaying game [[http://wiki.apocalyptus.com Apocalyptus]]. 
# It might also come in handy for other Steampunk applications, 
# but it contains pretty much exclusively English names, and 
# has a lot of silly made-up surnames.


;Start
1,Underbird
1,Birdkins
1,Birdcroft
1,Birdberry
1,Birdwallace
1,Bishop
1,Bishophurst
1,Bishopchurch
1,Blackman
1,Blake
1,Blakefield
1,Blakesley
1,Blakerly
1,Blakeworth
1,Blakeslee
1,Bloodworth
1,Bloodchurch
1,Bloodberry
1,Bloodfield
1,Bloodthorpe
1,Bloodhurst
1,Bloodridge
1,Bloodinger
1,Bloodcroft
1,Bloxam
1,Blue
1,Blythe
1,Boivin
1,Bond
1,Bondchurch
1,Bondsley
1,Bondcroft
1,Bonham
1,Bonner
1,Bonnershire
1,Bonnersley
1,Bonnerston
1,Bonnerschurch
1,Bonney
1,Boon
1,Booncock
1,Boonwallace
1,Boonthorpe
1,Boone
1,Booner
1,Boothman
1,Boothberry
1,Boothfield
1,Boothkins
1,Booth
1,Botwright
1,Boyce
1,Boyceworth
1,Braddock
1,Bradford
1,Bradley
1,Brams
1,Brasher
1,Brassington
1,Bray
1,Brayford
1,Brayberry
1,Braykins
1,Braycroft
1,Breckenridge
1,Breckenchurch
1,Brenckenshire
1,Breckenhurst
1,Breckenthorpe
1,Breckenwallace
1,Breckenford
1,Brent
1,Brentfield
1,Brentchurch
1,Brentcock
1,Brentster
1,Brentcroft
1,Brewer
1,Brewersly
1,Brewster
1,Bristol
1,Britton
1,Broadbent
1,Brock
1,Brockshire
1,Brockton
1,Brockfield
1,Brooks
1,Brookfield
1,Brookenridge
1,Brookscroft
1,Brookwallace
1,Brownlow
1,Bryant
1,Bryerly
1,Buckley
1,Buckridge
1,Buckshire
1,Bucklow
1,Nuckols
1,Nuckfield
1,Nucksley
1,Nucksworth
1,Nuckridge
1,Bullard
1,Bullock
1,Bullfield
1,Bullberry
1,Bullsley
1,Bullkins
1,Bullster
1,Bullford
1,Bunker
1,Blunklow
1,Blunchurch
1,Blunkthorpe
1,Blunkbury
1,Blunker
1,Burke
1,Burksley
1,Burksridge
1,Burklowe
1,Burkfield
1,Burkins
1,Burnham
1,Burns
1,Burnton
1,Burnfield
1,Burnington
1,Burnridge
1,Burncroft
1,Burnlow
1,Burnhurst
1,Burton
1,Bush
1,Busherly
1,Bushfield
1,Butcher
1,Butcherston
1,Butcherford
1,Butts
1,Cannon
1,Cantrell
1,Carlisle
1,Carman
1,Carter
1,Carterfield
1,Carterly
1,Carterridge
1,Cartershire
1,Lee
1,Carver
1,Carverfield
1,Carverthorpe
1,Carverly
1,Carversly
1,Carvercroft
1,Cartwright
1,Cartshire
1,Caulfield
1,Causer
1,Chamberlain
1,Chancellor
1,Chandler
1,Chapman
1,Chapfield
1,Chapperly
1,Chapridge
1,Chappy
1,Chapford
1,Cheshire
1,Christians
1,Christianson
1,Christianshire
1,Christiancroft
1,Christopher
1,Pike
1,Pikefield
1,Pikeridge
1,Pikesworth
1,Pikeford
1,Church
1,Churchton
1,Churchpool
1,Churchhouse
1,Churchcroft
1,Churchberry
1,Liverpool
1,Clark
1,Clarkberry
1,Clawson
1,Clayton
1,Clemens
1,Clinton
1,Close
1,Cox
1,Coxbury
1,Coxton
1,Coxfield
1,Coxridge
1,Coxworth
1,Coxlow
1,Coxley
1,Coxwood
1,Collingwood
1,Collingridge
1,Collingthorpe
1,Combs
1,Comstock
1,Constable
1,Cook
1,Cooksberry
1,Cooksfield
1,Cookshire
1,Cookwood
1,Cotterill
1,Cotter
1,Cotterfield
1,Cotterthorpe
1,Cottersley
1,Cotterspoon
1,Cowden
1,Crawford
1,Crawthorpe
1,Crawsley
1,Crawscroft
1,Crawspoon
1,Crawspool
1,Crewe
1,Croft
1,Cropper
1,Croppersberry
1,Sperry
1,Crouch
1,Cummins
1,Curtis
1,Dalton
1,Daniels
1,Danielson
1,Darby
1,Davies
1,Davidson
1,Dawson
1,Day
1,Deadman
1,Dean
1,Deering
1,Denman
1,Dennel
1,Derrick
1,Dexter
1,Dick
1,Dickens
1,Dickenson
1,Disney
1,Donalds
1,Donaldson
1,Downer
1,Draper
1,Duke
1,Dukeson
1,Durand
1,Dwerryhouse
1,Dyer
1,Eads
1,Eaton
1,Edison
1,Edwards
1,Elder
1,Eldridge
1,Elliot
1,Ellison
1,Elliston
1,Ellsworth
1,Elmerson
1,Emerson
1,Endicott
1,English
1,Ericson
1,Espenson
1,Ethans
1,Ethanson
1,Eustis
1,Fabian
1,Fairburn
1,Fairchild
1,Fairclough
1,Fairfight
1,Faulkner
1,Fear
1,Fenn
1,Firmin
1,Fisher
1,Fishman
1,Fletcher
1,Forester
1,Forney
1,Foss
1,Foster
1,Fox
1,Foxx
1,Frank
1,Franklin
1,Freeman
1,Frost
1,Fry
1,Frye
1,Fuller
1,Gabriels
1,Gardener
1,Garner
1,Gibb
1,Gibbs
1,Gibson
1,Giles
1,Glover
1,Gorbold
1,Gore
1,Grainger
1,Gray
1,Green
1,Greene
1,Griffin
1,Groves
1,Gully
1,Hackett
1,Hadaway
1,Haggard
1,Hoggard
1,Hale
1,Gale
1,Haight
1,Hall
1,Hambledon
1,Hambleton
1,Hamilton
1,Hamm
1,Hampson
1,Hampton
1,Hancock
1,Hanley
1,Harden
1,Hardwick
1,Hardy
1,Harford
1,Hargrave
1,Harley
1,Harman
1,Haroldson
1,Harper
1,Harrell
1,Harrelson
1,Harris
1,Hart
1,Hartell
1,Harvey
1,Hatheway
1,Hawk
1,Hawking
1,Hawkins
1,Hayes
1,Hayward
1,Haywood
1,Heath
1,Henderson
1,Hendry
1,Henson
1,Hepburn
1,Bothwall
1,Herbertson
1,Hewitt
1,Hext
1,Hibbert
1,Hicks
1,Hightower
1,Hill
1,Hillam
1,Hilton
1,Hobbes
1,Hobson
1,Hodges
1,Hogarth
1,Hollands
1,Holmwood
1,Holt
1,Honeycutt
1,Hooker
1,Hooper
1,Hope
1,Hopkins
1,Hopper
1,Horn
1,Horner
1,Horton
1,House
1,Howe
1,Howland
1,Huddleston
1,Hudnall
1,Hudson
1,Huff
1,Hughes
1,Hull
1,Hume
1,Hunnisett
1,Hurst
1,Hutson
1,Huxley
1,Hyland
1,Huxtable
1,Ibbot
1,Ingham
1,Inker
1,Irving
1,Isaacson
1,Jackson
1,Jacobs
1,Jacobson
1,Jamison
1,Jardine
1,Jeanes
1,Jeffers
1,Jeffries
1,Jeffery
1,Jepson
1,Jernigan
1,Jerome
1,Jinks
1,Joiner
1,Jordan
1,Kay
1,Keegan
1,Keen
1,Kellogg
1,Kemp
1,Kendall
1,Kelsey
1,Kendall
1,Kendrick
1,Kersey
1,Kevins
1,Key
1,Kidd
1,Killam
1,Kimball
1,King
1,Kipling
1,Kirby
1,Knaggs
1,Knight
1,Lane
1,Langley
1,Law
1,Lawrence
1,Lawson
1,Leach
1,Ledford
1,Leon
1,Levitt
1,Linwood
1,Lockwood
1,Long
1,Longstaff
1,Lowe
1,Lowry
1,Lucas
1,Lum
1,Lund
1,Lynn
1,Lyon
1,Mallory
1,Malone
1,Mann
1,Manning
1,Marchand
1,Marley
1,Marlow
1,Marsden
1,Mars
1,Marshall
1,Martel
1,Martin
1,Mason
1,Masters
1,Mathers
1,Mathews
1,Mayer
1,Myers
1,Meadows
1,Merrick
1,Merritt
1,Midgley
1,Milburn
1,Milford
1,Miller
1,Millhouse
1,Milton
1,Mills
1,Mitchell
1,Monday
1,Montgomery
1,Moore
1,Morse
1,Morris
1,Morison
1,Mottershead
1,Mounce
1,Muttoone
1,Murray
1,Myles
1,Nelson
1,Ness
1,Newell
1,Newman
1,Newport
1,Newton
1,Nichols
1,Schnickels
1,Nicolson
1,Nielson
1,Nixon
1,Norris
1,North
1,Northrop
1,Norwood
1,Nye
1,Oakley
1,Odell
1,Odgen
1,Olhouser
1,Houser
1,Ormann
1,Osborne
1,Ott
1,Outterridge
1,Padmore
1,Page
1,Palmer
1,Parish
1,Parsons
1,Paternoster
1,Patrick
1,Patterson
1,Patton
1,Paulson
1,Payne
1,Peacock
1,Peak
1,Pearson
1,Pelley
1,Pemberton
1,Penny
1,Perkins
1,Perry
1,Peters
1,Pettigrew
1,Philips
1,Pickering
1,Pickerell
1,Pickle
1,Pitts
1,Plank
1,Plaskett
1,Pocock
1,Polley
1,Pond
1,Poole
1,Pope
1,Porcher
1,Porter
1,Pound
1,Power
1,Powers
1,Prescott
1,Pressley
1,Preston
1,Proudfoot
1,Pryor
1,Purcell
1,Putnam
1,Queen
1,Queshire
1,Quick
1,Quickley
1,Quigg
1,Quigley
1,Quincey
1,Raines
1,Rakes
1,Ramsey
1,Randall
1,Rayne
1,Raynerson
1,Readdie
1,Reed
1,Reeve
1,Reid
1,Reiner
1,Rennel
1,Rennold
1,Rice
1,Richards
1,Rickard
1,Rider
1,Ridley
1,Rigby
1,Rimmer
1,Roach
1,Robbins
1,Roberts
1,Robinson
1,Rogers
1,Rollins
1,Rome
1,Romilly
1,Rose
1,Rounds
1,Rowbottom
1,Rowe
1,Rowland
1,Royce
1,Roceston
1,Roydon
1,Royle
1,Ruggles
1,Ruperston
1,Rush
1,Ruskin
1,Ryers
1,Sackville
1,Sadler
1,Salomon
1,Salvage
1,Samson
1,Samuel
1,Sanders
1,Sandford
1,Sands
1,Sangster
1,Sappington
1,Sargent
1,Savage
1,Sawyer
1,Saylor
1,Scott
1,Scrivens
1,Seabrooke
1,Sempers
1,Seaver
1,Seward
1,Shakesheave
1,Shakespeare
1,Sharman
1,Sharrow
1,Shelby
1,Sherburne
1,Shepard
1,Sherman
1,Simmons
1,Simms
1,Simon
1,Simpkin
1,Skinner
1,Slater
1,Smalls
1,Smedley
1,Snelling
1,Snyder
1,Southers
1,Southgate
1,Spalding
1,Spear
1,Spence
1,Spencer
1,Chauncer
1,Spooner
1,Spurling
1,Stafford
1,Stainthorpe
1,Shrovis
1,Bishopthorpe
1,Stamp
1,Stanton
1,Stark
1,Starr
1,Statham
1,Steed
1,Steele
1,Steelethorpe
1,Stenet
1,Stephenson
1,Stern
1,Stidolph
1,Sternthorpe
1,St. John
1,Stoddard
1,Strange
1,Strickland
1,Stringer
1,Stroud
1,Strudwick
1,Styles
1,Sudworth
1,Suggitt
1,Summerfield
1,Summerset
1,Sutton
1,Sweet
1,Swindlehurst
1,Symons
1,Tash
1,Tate
1,Tasker
1,Tennison
1,Tennyson
1,Thacker
1,Thatcher
1,Tashthorpe
1,Tashington
1,Thompson
1,Thorn
1,Thorpe
1,Thrussel
1,Thwaite
1,Tifft
1,Tinker
1,Tipton
1,Tittensor
1,Toft
1,Tobias
1,Tolbert
1,Tollemache
1,Toller
1,Towner
1,Townsend
1,Tracy
1,Travers
1,Traves
1,Travis
1,Trengrove
1,Grovethorpe
1,Triggs
1,Tucker
1,Tuff
1,Tupper
1,Turnbull
1,Turner
1,Tyler
1,Tyson
1,Underwood
1,Upton
1,Sinclair
1,Vance
1,Varley
1,Varnham
1,Verity
1,Victors
1,Victorson
1,Wakefield
1,Walker
1,Wallace
1,Cornwallace
1,Walmsley
1,Walsh
1,Waller
1,Walterson
1,Ward
1,Ware
1,Wash
1,Waterman
1,Watkins
1,Watson
1,Way
1,Weaver
1,Webster
1,Wembley
1,Wescott
1,Westbrook
1,Wheeler
1,Wheelock
1,Whinery
1,Whitaker
1,Whitney
1,Whittlemore
1,Whittle
1,Whittlethorpe
1,Wickham
1,Wilcox
1,Wilkerson
1,Wilkerthorpe
1,Wilkins
1,Wilkinson
1,Williams
1,Willis
1,Willoughby
1,Wilson
1,Winchester
1,Winfield
1,Winship
1,Churchill
1,Winter
1,Winthrop
1,Witherspoon
1,Wolfe
1,Womack
1,Wood
1,Woodcock
1,Woodward
1,Woodham
1,Woods
1,Wotton
1,Wright
1,Wyatt
1,Wyman
1,Wray
1,Yates
1,York
1,Young
1,Callahan
1,Irons
1,Channing

;MaleFirst
1,Winston
1,Vaughan
1,Upton
1,Sexton
1,Seymour
1,Roscoe
1,Roderick
1,Norman
1,Nigel
1,Mercer
1,Herbert
1,Harlow
1,Gilbert
1,Hubert
1,Fairfax
1,Eustace
1,Claude
1,Elmer
1,Aldridge
1,Clifford
1,Quantrell
1,Augustine
1,Achilles
1,Reuben
1,Joseph
1,Isaac
1,Isaiah
1,Ezekiel
1,Abraham
1,Rutheford
1,Cole
1,Bartholomew
1,Peter
1,James
1,Byron
1,Grant
1,Roderick
1,Felix
1,Charlie
1,Charlton
1,Fitzwilliam
1,Longfellow
1,Hercules
1,Sampson
1,Adam
1,Matthew
1,Alexander
1,Chancellor
1,Ebenezer
1,Lloyd
1,Jethro
1,Martial
1,Eulas
1,Wilfrid
1,Arthur
1,Lester
1,Bowles
1,Alec
1,Allan
1,Hawley
1,Lorimer
1,Mortimer
1,Henry
1,Eugene
1,Thomas
1,Paddington
1,Romeo
1,Clyde
1,Salvador
1,Oliver
1,Wealth
1,Drinker
1,Jefferson
1,Prosperity
1,Ganymede
1,Oswald
1,Herbert
1,Virgil
1,Emmitt
1,Clarence
1,Foster
1,Hiram
1,Chester
1,Elden
1,Ferdinand
1,Percy
1,Cyrus
1,Frederick
1,Casper
1,Clement
1,Emery
1,Eugene
1,Laurence
1,Clifton
1,Stewart
1,Gerard
1,Franklin
1,Norman
1,Buford
1,Earl
1,Edwin
1,Edgar
1,Elwood
1,Howard
1,Homer
1,Herman
1,Hubert
1,Harvey
1,Harrison
1,Hampton
1,Frank
1,Ira
1,Isaac
1,Israel
1,Ignatious
1,Julius
1,Lester
1,Mack
1,Oscar
1,Owen
1,Otis
1,Quincy
1,Ralph
1,Reuben
1,Raymond
1,Ross
1,Russell
1,Ulysses
1,Victor
1,Vincent
1,Vernon
1,Webster
1,Warren
1,Wesley
1,Wilbur
1,Wade
1,George
1,Edward
1,Edmund
1,Charles
1,Richard
1,Paul
1,Andrew
1,Benjamin
1,Ronald
1,John
1,Jon
1,Jonathan
1,Elijah
1,Eli
1,Josiah
1,Jeremiah
1,Grover
1,Everett
1,Daniel
1,Gregory
1,James
1,Jack
1,Humphrey
1,William
1,Robin
1,Singer
1,Harvis
1,Hillard
1,Wesley
1,Godfrey
1,Emerson
1,Leopold
1,Othniel
1,Noah
1,Prospero
1,Orlando
1,Bertram
1,Reginald
1,Marmaduke
1,Archibald
1,Regiford
1,Gumphrey
1,Quinfrey
1,Leonardo
1,Lee
1,Aaron
1,Abe
1,Abel
1,Abner
1,Ace
1,Abraham
1,Adair
1,Adolph
1,Adolphus
1,Gustav
1,Alban
1,Albert
1,Adeous
1,Wolfgang
1,Amadeus
1,Alec
1,Alexander
1,Alfred
1,Algernon
1,Alger
1,Aloysius
1,Alfonzo
1,Alton
1,Alvin
1,Alva
1,Ambrose
1,Amery
1,Amias
1,Amos
1,Andre
1,Andrew
1,Angus
1,Ansel
1,Anselm
1,Anson
1,Anthony
1,Antony
1,Archibald
1,Arden
1,Arnold
1,Arturus
1,Asher
1,Ashton
1,Aston
1,Astor
1,Audley
1,August
1,Augustine
1,Augustus
1,Austin
1,Avery
1,Baldric
1,Baldwin
1,Balfour
1,Barclay
1,Barnabas
1,Barnaby
1,Bartholomew
1,Basil
1,Baxter
1,Beumont
1,Beuregard
1,Benedict
1,Bentley
1,Benton
1,Bernard
1,Bert
1,Bertie
1,Bertram
1,Bertrand
1,Blaine
1,Blake
1,Blythe
1,Boniface
1,Booker
1,Bradford
1,Bradley
1,Bram
1,Brannon
1,Brian
1,Briar
1,Brigham
1,Briscoe
1,Burton
1,Buster
1,Cairo
1,Caleb
1,Callahan
1,Carl
1,Carleton
1,Carlisle
1,Carson
1,Carter
1,Carver
1,Casey
1,Cash
1,Cassius
1,Cecil
1,Cedric
1,Celestine
1,Chadwick
1,Charley
1,Charlie
1,Chauncey
1,Chester
1,Christian
1,Christopher
1,Clarence
1,Clark
1,Clem
1,Clement
1,Cletus
1,Clifford
1,Clifton
1,Clint
1,Clive
1,Clyde
1,Coleman
1,Colin
1,Conrad
1,Constant
1,Cornelius
1,Crispin
1,Curtis
1,Cuthbert
1,Cyril
1,Cyrus
1,Dalton
1,Damian
1,Daniel
1,Darby
1,Darius
1,David
1,Davey
1,Davis
1,Dawson
1,Dean
1,Deforest
1,Delroy
1,Denholm
1,Dennis
1,Denton
1,Derby
1,Desmond
1,Devereux
1,Dexter
1,Digby
1,Diggory
1,Dixon
1,Domenick
1,Donald
1,Donovan
1,Dorian
1,Douglas
1,Drake
1,Driscoll
1,Dudley
1,Duncan
1,Dunstan
1,Durward
1,Dwight
1,Dyson
1,Earnest
1,Ebenezer
1,Edric
1,Elias
1,Elliot
1,Elmer
1,Elroy
1,Elton
1,Elwood
1,Emerson
1,Emil
1,Emmanuel
1,Emmet
1,Errol
1,Erskine
1,Eugene
1,Evander
1,Ewart
1,Ezra
1,Exekiel
1,Felix
1,Ferdinand
1,Fitzroy
1,Fitz
1,Floyd
1,Flynn
1,Ford
1,Foster
1,Francis
1,Franklin
1,Fred
1,Frederick
1,Galen
1,Gallagher
1,Garfield
1,Garth
1,Telemachus
1,Cornelius


;Init
1,A.
1,B.
1,C.
1,D.
1,E.
1,F.
1,G.
1,H.
1,I.
1,J.
1,K.
1,L.
1,M.
1,N.
1,O.
1,P.
1,Q.
1,R.
1,S.
1,T.
1,U.
1,V.
1,W.
1,X.
1,Y.
1,Z.

;MaleTitle
1,Dr.
1,The Right Honorable
1,Lord
1,Earl
1,Duke
1,Baron
1,Professor
1,Sir
1,Master
1,Grand Duke
1,Marquess

;FemaleTitle
1,Dame
1,Lady
1,Dutchess
1,Mrs.
1,Miss
1,Baroness
1,Countess
1,Grand Duchess
1,Dr.

;MaleHon
1,Junior
1,III
1,IV
1,V
1,Esq.

;MaleNick
1,”Stonewall”
1,”Cannonball”
1,”Bulldog”
1,”Hound”
1,”Stumpy”
1,”Locomotive”
1,”Whiskey”
1,”Beagle”
1,”Catfish”
1,”Cobblestone”
1,”Firebox”
1,”Gallows”
1,”Justice”
1,”Butcher”
1,”Ripper”
1,”Headless”
1,”Pidgeon”
1,”Turkey”
1,”Goose”
1,”Sharpshooter”
1,”Madhouse”
1,”Christmas”
1,”Crusher”
1,”Top-Hat”
1,”Hungry”
1,”Thirsty”
1,”Brick”
1,”Chimney”
1,”Hard-Luck”
1,”Ruffian”
1,”Steams”
1,”Steamer”
1,”Steamy”
1,”Inferno”
1,”Tantrum”
1,”Billygoat”
1,”Outlaw”
1,”Madman”
1,”Great Dane”
1,”Hawk”
1,”Fishy”
1,”Quickdraw”
1,”Fancy Boy”
